,Symbol,Name
0,BTC-USD,Bitcoin USD
1,ETH-USD,Ethereum USD
2,BNB-USD,BinanceCoin USD
3,USDT-USD,Tether USD
4,SOL1-USD,Solana USD
5,ADA-USD,Cardano USD
6,USDC-USD,USDCoin USD
7,XRP-USD,XRP USD
8,DOT1-USD,Polkadot USD
9,HEX-USD,HEX USD
10,LUNA1-USD,Terra USD
11,DOGE-USD,Dogecoin USD
12,AVAX-USD,Avalanche USD
13,SHIB-USD,SHIBA INU USD
14,MATIC-USD,MaticNetwork USD
15,CRO-USD,CryptocomCoin USD
16,ALGO-USD,Algorand USD
17,LTC-USD,Litecoin USD
18,UNI3-USD,Uniswap USD
19,BCH-USD,BitcoinCash USD
20,LINK-USD,Chainlink USD
21,TRX-USD,TRON USD
22,XLM-USD,Stellar USD
23,MANA-USD,Decentraland USD
24,DAI1-USD,Dai USD
25,AXS-USD,AxieInfinity USD
26,FTT1-USD,FTXToken USD
27,VET-USD,VeChain USD
28,EGLD-USD,Elrond USD
29,ICP1-USD,InternetComputer USD
30,ATOM1-USD,Cosmos USD
31,ETC-USD,EthereumClassic USD
32,FIL-USD,FilecoinFutures USD
33,HBAR-USD,HederaHashgraph USD
34,SAND-USD,TheSandbox USD
35,THETA-USD,THETA USD
36,FTM-USD,Fantom USD
37,XMR-USD,Monero USD
38,XTZ-USD,Tezos USD
39,GRT2-USD,TheGraph USD
40,MIOTA-USD,IOTA USD
41,EOS-USD,EOS USD
42,HNT1-USD,Helium USD
43,BTT1-USD,BitTorrent USD
44,LRC-USD,Loopring USD
45,FLOW1-USD,FlowDapperLabs USD
46,CAKE-USD,PancakeSwap USD
47,BSV-USD,BitcoinSV USD
48,STX1-USD,Stacks USD
49,MKR-USD,Maker USD
50,AAVE-USD,Aave USD
51,KSM-USD,Kusama USD
52,ZEC-USD,Zcash USD
53,ENJ-USD,EnjinCoin USD
54,AMP1-USD,Amp USD
55,WAVES-USD,Waves USD
56,NEO-USD,NEO USD
57,QNT-USD,Quant USD
58,ONE2-USD,Harmony USD
59,BAT-USD,BasicAttentionToken USD
60,RUNE-USD,THORChain USD
61,CHZ-USD,Chiliz USD
62,KDA-USD,Kadena USD
63,HOT1-USD,Holo USD
64,CRV-USD,CurveDAOToken USD
65,AR-USD,Arweave USD
66,DFI-USD,DeFiChain USD
67,DASH-USD,Dash USD
68,COMP-USD,Compound USD
69,TFUEL-USD,ThetaFuel USD
70,CELO-USD,Celo USD
71,TUSD-USD,TrueUSD USD
72,DCR-USD,Decred USD
73,XEM-USD,NEM USD
74,CTC1-USD,Creditcoin USD
75,IOTX-USD,IoTeX USD
76,VGX-USD,VoyagerToken USD
77,1INCH-USD,1inch USD
78,QTUM-USD,Qtum USD
79,CCXX-USD,CounosX USD
80,RVN-USD,Ravencoin USD
81,XDC-USD,XinFinNetwork USD
82,WAXP-USD,WAX USD
83,CEL-USD,Celsius USD
84,ANKR-USD,Ankr USD
85,OMI-USD,ECOMI USD
86,OMG-USD,OmiseGO USD
87,ROSE-USD,OasisNetwork USD
88,SC-USD,Siacoin USD
89,YFI-USD,yearnfinance USD
90,ICX-USD,ICON USD
91,ZEN-USD,Horizen USD
92,BTG-USD,BitcoinGold USD
93,ZIL-USD,Zilliqa USD
94,BNT-USD,Bancor USD
95,ZRX-USD,0x USD
96,RAY-USD,Raydium USD
97,SUSHI-USD,Sushi USD
98,VLX-USD,Velas USD
99,XWC-USD,WhiteCoin USD
